cell_id,Lat,Lon,Elevation
247919,41.71875,-116.09375,2305.81006
247920,41.71875,-116.03125,2046.62
247921,41.71875,-115.96875,1841.68994
247922,41.71875,-115.90625,2004
247927,41.71875,-115.59375,2002.06995
247928,41.71875,-115.53125,1949.93994
247929,41.71875,-115.46875,2126.5
247932,41.71875,-115.28125,2519.37988
247933,41.71875,-115.21875,1995.43994
247934,41.71875,-115.15625,1912.31006
247935,41.71875,-115.09375,1848.06006
247936,41.71875,-115.03125,1886.18994
247937,41.71875,-114.96875,2267.06006
247938,41.71875,-114.90625,2010.5
247939,41.71875,-114.84375,1761.18994
247940,41.71875,-114.78125,1745.75
247941,41.71875,-114.71875,2017.12
247942,41.71875,-114.65625,2162.93994
247943,41.71875,-114.59375,1853.93994
247944,41.71875,-114.53125,1930
247950,41.71875,-114.15625,2135.25
248792,41.78125,-119.53125,1793.43994
248793,41.78125,-119.46875,1763.75
248794,41.78125,-119.40625,1856.68994
248795,41.78125,-119.34375,1877.12
248830,41.78125,-117.15625,1780.75
248831,41.78125,-117.09375,1733.43994
248832,41.78125,-117.03125,1680
248833,41.78125,-116.96875,1639.93994
248834,41.78125,-116.90625,1615
248835,41.78125,-116.84375,1614.75
248836,41.78125,-116.78125,1639.5
248839,41.78125,-116.59375,1612
248840,41.78125,-116.53125,1525.25
248841,41.78125,-116.46875,1535.81006
248842,41.78125,-116.40625,1524
248843,41.78125,-116.34375,1596.75
248844,41.78125,-116.28125,1689.37
248845,41.78125,-116.21875,1647.81006
248846,41.78125,-116.15625,1984.18994
248847,41.78125,-116.09375,2375.18994
248848,41.78125,-116.03125,2095.56006
248849,41.78125,-115.96875,1834.88
248850,41.78125,-115.90625,1788.06006
248851,41.78125,-115.84375,2098.26001
248853,41.78125,-115.71875,2062.5
248855,41.78125,-115.59375,2202.98999
248856,41.78125,-115.53125,2665.07007
248857,41.78125,-115.46875,2546.25
248858,41.78125,-115.40625,2701.42993
248859,41.78125,-115.34375,2609.75
248860,41.78125,-115.28125,2578.06006
248861,41.78125,-115.21875,2455.62012
248862,41.78125,-115.15625,1959
