Lat,Lon,HeidkeSkillScore_DroughtVsNonDrought
41.59375,-114.96875,59.1684185937865
41.59375,-115.46875,40.64373619438308
41.59375,-116.34375,35.54119547657512
41.59375,-116.46875,47.559644472165914
41.59375,-116.53125,55.50003903505348
41.59375,-116.59375,54.103437596779195
41.59375,-114.71875,29.766536964980546
41.59375,-114.78125,32.77016257570928
41.59375,-114.84375,38.88111888111888
41.59375,-115.03125,60.78431372549019
41.59375,-115.53125,30.200381679389317
41.59375,-115.59375,55.52434456928839
41.59375,-114.65625,52.38770685579196
41.59375,-115.09375,62.883720930232556
41.59375,-119.21875,34.39897698209718
41.65625,-116.21875,39.553656220322885
41.65625,-116.09375,59.38661710037175
41.65625,-116.15625,57.356608478803
41.65625,-116.28125,26.609442060085836
41.65625,-116.03125,54.77598008711886
41.65625,-116.40625,28.727156139788395
41.65625,-116.65625,57.57152826238661
41.65625,-114.90625,45.88179444576311
41.65625,-114.96875,65.39000467071462
41.65625,-115.46875,63.69990680335508
41.65625,-116.34375,29.097779877184692
41.65625,-116.46875,46.91089723688295
41.65625,-116.53125,50.725532571781415
41.65625,-116.59375,55.14636449480642
41.65625,-114.71875,28.772829221403395
41.65625,-114.78125,27.394315739192738
41.65625,-114.84375,53.45076060848679
41.65625,-115.03125,55.783104491505696
41.65625,-115.53125,26.85274302213667
41.65625,-115.59375,55.50003903505348
41.65625,-114.65625,34.877816566169464
41.65625,-115.09375,29.925900976759852
41.65625,-115.15625,34.9983938323161
41.65625,-115.96875,50.48543689320388
41.65625,-116.71875,61.822429906542055
41.65625,-119.28125,32.02416918429003
41.65625,-119.34375,29.776000000000003
41.65625,-119.40625,30.241545893719806
41.65625,-119.46875,32.89316681250497
41.71875,-116.21875,35.28855250709555
41.71875,-116.09375,55.33304309969525
41.71875,-116.15625,60.649941067519784
41.71875,-116.28125,9.430458109781263
41.71875,-116.03125,64.75867570801755
41.71875,-116.40625,27.576950608446673
41.71875,-114.90625,40.06591337099812
41.71875,-114.96875,50.85436588807023
41.71875,-115.46875,70.85076708507671
41.71875,-116.34375,26.586102719033235
41.71875,-116.46875,48.29123328380386
41.71875,-116.53125,51.00796999531176
41.71875,-116.59375,47.35441452723857
41.71875,-114.71875,32.16468317787069
41.71875,-114.78125,37.921799678628815
41.71875,-114.84375,33.108108108108105
41.71875,-115.03125,47.29666196520921
41.71875,-115.53125,41.292980510220254
41.71875,-115.59375,51.96629213483146
41.71875,-114.65625,36.417910447761194
41.71875,-115.09375,23.19447867882672
41.71875,-115.15625,34.38715953307393
41.71875,-115.96875,59.27306616961789
41.71875,-119.28125,31.65036289050174
41.71875,-119.34375,35.57784145176695
41.71875,-119.40625,31.0245999522331
41.71875,-119.46875,31.818181818181817
41.71875,-114.15625,46.400778210116734
41.71875,-114.53125,53.46938775510204
41.71875,-114.59375,33.99807011900933
41.71875,-115.21875,44.13089874318236
41.71875,-115.28125,66.47058823529412
41.71875,-115.90625,57.05203673181069
41.71875,-116.90625,51.07677902621723
41.71875,-117.09375,51.7743830787309
41.71875,-117.15625,54.95118549511855
41.78125,-116.21875,39.07097382692761
41.78125,-116.09375,47.58311718934214
41.78125,-116.15625,68.93974778141056
41.78125,-116.28125,39.09090909090909
41.78125,-116.03125,63.372698853768675
41.78125,-116.40625,45.573717430004855
41.78125,-114.90625,41.21875
41.78125,-114.96875,39.26526717557252
41.78125,-115.40625,62.46100519930676
41.78125,-115.46875,74.34424957318019
41.78125,-116.34375,29.22636103151863
